name,street_name,postal_code,block_number,status,longitude,latitude
Adam Road Food Centre,Adam Road,289876,2,HUP Standard Upgrading,103.814165010384,1.32413422253318
Aljunied Ave 2 Blk 117 (Blk 117 Aljunied Market and Food Centre),Aljunied Ave 2,380117,117,HUP Standard Upgrading,103.88701902611,1.32064829234987
Amoy Street Food Centre (Telok Ayer Food Centre),Telok Ayer Street,69111,,HUP Standard Upgrading,103.846606784092,1.27921844263269
Anchorvale Village Hawker Centre,Anchorvale Road,540339,339,New Centre,103.888489618777,1.39691417603694
Ang Mo Kio Ave 1 Blk 226D (Kebun Baru Market and Food Centre),Ang Mo Kio Ave 1,564226,226D,HUP Standard Upgrading,103.839231344066,1.36678764523637
Ang Mo Kio Ave 1 Blk 341 (Teck Ghee Court),Ang Mo Kio Ave 1,560341,341,HUP Rebuilding,103.848254220438,1.36410517096399
Ang Mo Kio Ave 10 Blk 409 (Teck Ghee Square),Ang Mo Kio Ave 10,560409,409,HUP Standard Upgrading,103.855369790045,1.36276891777383
Ang Mo Kio Ave 10 Blk 453A (Chong Boon Market and Food Centre),Ang Mo Kio Ave 10,561453,453A,HUP Standard Upgrading,103.856351437414,1.36824049310006
Ang Mo Kio Ave 10 Blk 527 (Cheng San Market and Cooked Food Centre),Ang Mo Kio Ave 10,560527,527,HUP Reconfiguration,103.854482811591,1.37276992816898
Ang Mo Kio Ave 4 Blk 160/162 (Mayflower Market),Ang Mo Kio Ave 4,560160,160/162,HUP Standard Upgrading,103.839214290038,1.37448912101909
Ang Mo Kio Ave 4 Blk 628 (Ang Mo Kio 628 Market),Ang Mo Kio Ave 4,560628,628,HUP Rebuilding,103.840682307297,1.38102486670548
Ang Mo Kio Ave 6 Blk 724 (Blk 724 Ang Mo Kio Market),Ang Mo Kio Ave 6,560724,724,HUP Reconfiguration,103.846519219268,1.37219743270045
Ang Mo Kio Street 22 Blk 226H (Kebun Baru Food Centre),Ang Mo Kio Street 22,568226,226H,HUP Reconfiguration,103.839953165936,1.36723014879667
Bedok Food Centre,Bedok Road,469572,1,HUP Rebuilding,103.955474150677,1.32035600765426
Bedok North Street 1 Blk 216,Bedok North Street 1,460216,216,HUP Standard Upgrading,103.933221544751,1.32706240888967
Bedok North Street 3 Blk 511 (Kaki Bukit 511 Market and Food Centre),Bedok North Street 3,460511,511,HUP Standard Upgrading,103.930602144469,1.33324627868937
Bedok North Street 3 Blk 538,Bedok North Street 3,460538,538,HUP Standard Upgrading,103.924844235398,1.33178125123252
Bedok North Street 4 Blk 85 (85 Fengshan Centre),Bedok North Street 4,460085,85,HUP Standard Upgrading,103.938732580554,1.33198706861747
Bedok Reservoir Road Blk 630,Bedok Reservoir Road,470630,630,HUP Rebuilding,103.91405388831,1.33315924777343
Bedok South Road Blk 16,Bedok South Road,460016,16,HUP Standard Upgrading,103.93553909635,1.32055216480957
Bendemeer Road Blk 29 (Bendemeer Market and Food Centre),Bendemeer Road,330029,29,HUP Standard Upgrading,103.863021377531,1.31921699786807
Beo Crescent Market,Beo Crescent,169982,38A,HUP Standard Upgrading,103.827358017197,1.28882210205212
Berseh Food Centre,Jalan Besar,208877,166,HUP Standard Upgrading,103.856853966617,1.30733651651517
Boon Lay Place Blk 221A/B (Boon Lay Place Market and Food Village),Boon Lay Place,641221,221A/B,HUP Reconfiguration,103.712799765872,1.3452231627967
Buangkok Hawker Centre,Compassvale Bow,544692,72,New Centre,103.892403203249,1.38238755827879
Buffalo Road Blk 665 (Tekka Centre/Zhu Jiao Market),Buffalo Road,210665,665,HUP Standard Upgrading,103.850530969624,1.30620584090733
Bukit Batok West Hawker Centre,Bukit Batok West Avenue 9,651469,469A,New Centre,103.741825836536,1.35521457121361
Bukit Canberra Hawker Centre,Canberra Link,756973,21,New Centre,103.822484958307,1.44901674160031
Bukit Merah Central Blk 163 (Bukit Merah Central Food Centre),Bukit Merah Central,150163,163,Opted out of HUP,103.816992390295,1.28369258928085
Bukit Merah Lane 1 Blk 120 (Alexandra Village Food Centre),Bukit Merah Lane 1,150120,120,HUP Standard Upgrading,103.804489277779,1.28629777221659
Bukit Merah View Blk 115 (Blk 115 Bukit Merah View Market and Food Centre),Bukit Merah View,151115,115,HUP Standard Upgrading,103.822049361292,1.28550478314618
Bukit Panjang Hawker Centre,Bukit Panjang Ring Road,679947,2,New Centre,103.772489583206,1.37760053528611
Bukit Timah Market,Upper Bukit Timah Road,588215,51,HUP Standard Upgrading,103.775995008012,1.33937596351523
Cambridge Road Blk 41A (Pek Kio Market and Food Centre),Cambridge Road,211041,41A,HUP Reconfiguration,103.850225081031,1.31615991374589
Changi Village Blk 2 and 3,Changi Village Road,500002,2&3,HUP Standard Upgrading,103.988245749103,1.38915172065006
Chomp Chomp Food Centre,Kensington Park Road,557269,20,HUP Standard Upgrading,103.866536130299,1.36422852315868
Ci Yuan Hawker Centre,Hougang Avenue 9,538776,51,New Centre,103.882977999397,1.37542896666561
Circuit Road Blk 79/79A,Circuit Road,370079,79/79A,HUP Standard Upgrading,103.885043500019,1.32644992167231
Circuit Road Blk 80 (80 Circuit Road Market and Food Centre),Circuit Road,370080,80,HUP Reconfiguration,103.887128535137,1.32784956142548
Circuit Road Blk 89,Circuit Road,370089,89,HUP Standard Upgrading,103.885449224256,1.32344525333847
Clementi Ave 2 Blk 353 (Clementi Ave 2 Market/Cooked Food Centre),Clementi Ave 2,120353,353,HUP Standard Upgrading,103.770836740843,1.31436772839327
Clementi Ave 3 Blk 448,Clementi Ave 3,120448,448,HUP Standard Upgrading,103.764510533078,1.31326486994113
Clementi West Street 2 Blk 726,Clementi West Street 2,120726,726,HUP Standard Upgrading,103.764264410293,1.3037819726711
Commonwealth Crescent Market,Commonwealth Crescent,149644,31,HUP Rebuilding,103.800362825517,1.3068922760844
Commonwealth Drive Blk 1A/2A/3A (Tanglin Halt Food Centre/Commonwealth Drive Food Centre),Commonwealth Drive,141001,1A/2A/3A,HUP Standard Upgrading,103.797875477439,1.29971330531884
Dunman Food Centre,Onan Road,424768,271,HUP Standard Upgrading,103.90182514721,1.30941418731185
East Coast Lagoon Food Village,East Coast Parkway,468960,1220,HUP Rebuilding,103.935016747249,1.30668431820832
Empress Road Blk 7 (Empress Road Market and Food Centre),Empress Road,260007,7,HUP Standard Upgrading,103.805636386821,1.31624573118373
Eunos Crescent Blk 4A,Eunos Crescent,402004,4A,HUP Standard Upgrading,103.904260878989,1.32033178221424
Fernvale Hawker Centre & Market,Sengkang West Avenue,797650,21,New Centre,103.877060478847,1.39159232727757
Geylang Bahru Blk 69 (Blk 69 Geylang Bahru Market and Food Centre),Geylang Bahru,330069,69,Opted out of HUP,103.870004415152,1.32146226027018
Geylang Serai Market,Geylang Serai,402001,,HUP Rebuilding,103.898224315881,1.3167281476983
Ghim Moh Road Blk 20,Ghim Moh Road,270020,20,Opted out of HUP,103.788230657145,1.31099627311591
Golden Mile Food Centre,Beach Road,199583,505,HUP Standard Upgrading,103.863883249985,1.30287548090781
Haig Road Blk 13/14 (Haig Road Market and Cooked Food Centre),Haig Road,430013,13/14,HUP Reconfiguration,103.895609494855,1.3151420505272
Havelock Road Blk 22A/B (Havelock Road Cooked Food Centre),Havelock Road,161022,22A/B,HUP Standard Upgrading,103.829626834637,1.28797543998733
Hawker Centre @ Our Tampines Hub,Tampines Walk,528523,1,New Centre,103.939726160039,1.35386211773287
Holland Drive Blk 44 (Holland Drive Market and Food Centre),Holland Drive,270044,44,HUP Standard Upgrading,103.792773765463,1.30811775909823
Holland Village Market and Food Centre,Lorong Mambong,277700,1,HUP Rebuilding,103.794862936127,1.31090802808558
Hougang Ave 1 Blk 105 (Hougang 105 Hainanese Village Centre),Hougang Ave 1,530105,105,HUP Rebuilding,103.890081064953,1.35383739101169
Hougang Street 21 Blk 209 (Kovan Hougang Market and Food Centre),Hougang Street 21,530209,209,HUP Standard Upgrading,103.885977616903,1.35911942212642
Jalan Batu Blk 4A (Blk 4A Jalan Batu Hawker Centre/Market),Jalan Batu,432004,4A,HUP Standard Upgrading,103.88394058022,1.30241881353449
Jalan Bukit Merah Blk 112 (Blk 112 Jalan Bukit Merah Market and Food Centre),Jalan Bukit Merah,160112,112,HUP Standard Upgrading,103.826013285715,1.28000481198881
Jalan Bukit Merah Blk 6 (ABC Brickworks Market/Food Centre),Jalan Bukit Merah,150006,6,HUP Reconfiguration,103.808127999318,1.28695275198944
Jalan Kukoh Blk 1 (Kukoh 21 Food Centre),Jalan Kukoh,161001,1,HUP Standard Upgrading,103.839945947186,1.28823055540002
Jurong East Ave 1 Blk 347 (Yuhua Market and Hawker Centre),Jurong East Ave 1,600347,347,HUP Standard Upgrading,103.731579747132,1.34531247026793
Jurong East Street 24 Blk 254 (Yuhua Village Market and Food Centre),Jurong East Street 24,600254,254,HUP Reconfiguration,103.737781231485,1.34344213770991
Jurong West Hawker Centre,Jurong West Street 61,648202,50,New Centre,103.697404254467,1.3412597060095
Jurong West Street 52 Blk 505,Jurong West Street 52,640505,505,HUP Standard Upgrading,103.71844754363,1.34964224318434
Kallang Estate Fresh Market and Food Centre,Old Airport Road,397972,17,HUP Standard Upgrading,103.884130183315,1.30739616009942
Kampung Admiralty Hawker Centre,Woodlands Drive 71,730676,676,New Centre,103.800696448529,1.43993283228134
Margaret Drive Hawker Centre,Margaret Drive,142038,38A,New Replacement Centre,103.804715225285,1.29748567106686
Marine Parade Central Blk 84 (84 Marine Parade Central Market and Food Centre),Marine Parade Central,440084,84,Opted out of HUP,103.906338526157,1.30228513841822
Marine Terrace Blk 50A (50A Marine Terrace),Marine Terrace,441050,50A,HUP Standard Upgrading,103.915761950557,1.30577514781108
Market Street Hawker Centre,Market Street,48940,50,New Replacement Centre,103.850164578087,1.2844248503218
Marsiling Lane Blk 20/21,Marsiling Lane,730020,20/21,HUP Standard Upgrading,103.777203165702,1.44388181695611
Marsiling Mall Hawker Centre,Woodlands Street 12,738623,4,New Replacement Centre,103.779784899996,1.43353885680037
Maxwell Food Centre (Kim Hua Market),Kadayanallur Street,69184,1,Upgraded prior to HUP,103.844827863123,1.28011223513205
Mei Chin Road Blk 159 (Mei Chin Road Market),Mei Chin Road,140159,159,HUP Reconfiguration,103.802903901116,1.29323622090658
New Market Road Blk 32 (People's Park Food Centre),New Market Road,50032,32,HUP Standard Upgrading,103.842578750107,1.28499102169498
New Upper Changi Road Blk 208B,New Upper Changi Road,462208,208B,New Replacement Centre,103.93056047823,1.32473884451035
New Upper Changi Road Blk 58,New Upper Changi Road,461058,58,HUP Standard Upgrading,103.941132372619,1.32418782817919
Newton Food Centre,Clemenceau Ave North,229495,500,HUP Standard Upgrading,103.839562687644,1.31189235691653
North Bridge Road Market,North Bridge Road,198783,861,HUP Reconfiguration,103.863891012338,1.30576537802761
Old Airport Road Blk 51 (51 Old Airport Road Food Centre and Shopping Mall),Old Airport Road,390051,51,HUP Standard Upgrading,103.885833217727,1.30825156309798
One Punggol Hawker Centre,Punggol Drive,828629,1,New Centre,103.904805657576,1.40818996870647
Pasir Panjang Food Centre,Pasir Panjang Road,118543,121,HUP Standard Upgrading,103.791402660553,1.27590752450201
Pasir Ris Central Hawker Centre,Pasir Ris Central,519641,110,New Centre,103.951543034782,1.37343413973246
Punggol Digital District Hawker Centre,Ponggol Seventeenth Avenue,,,New Centre,103.908252830309,1.41456688638677
Queen Street Blk 270 (Albert Centre),Queen Street,180270,270,HUP Standard Upgrading,103.854211645499,1.30100146521405
Redhill Lane Blk 79 (Redhill Market),Redhill Lane,150079,79,HUP Reconfiguration,103.818402623449,1.2878581025663
Redhill Lane Blk 85 (Redhill Food Centre),Redhill Lane,150085,85,HUP Reconfiguration,103.818338919994,1.28733076703987
Sembawang Hills Food Centre (Jalan Leban Food Centre),Upper Thomson Road,574419,590,HUP Standard Upgrading,103.828994204342,1.37238494002145
Senja Hawker Centre,Senja Close,677632,2,New Centre,103.761017756804,1.38713573069818
Serangoon Garden Market,Serangoon Garden Way,555945,49A,HUP Rebuilding,103.866737484646,1.3631571201113
Shunfu Road Blk 320 (Shunfu Mart),Shunfu Road,570320,320,Not eligible for HUP,103.837031803823,1.35200744198417
Sims Place Blk 49 (Sims Vista Market and Food Centre),Sims Place,380049,49,HUP Reconfiguration,103.879417030673,1.31708335109103
Smith Street Blk 335 (Chinatown Complex Market),Smith Street,50335,335,HUP Reconfiguration,103.843177616296,1.28223514826381
Taman Jurong Market and Food Centre,Yung Sheng Road,618499,3,HUP Rebuilding,103.721519868629,1.33458935951076
Tampines Street 11 Blk 137 (Tampines Round Market and Food Centre),Tampines Street 11,521137,137,HUP Reconfiguration,103.944624481151,1.3456395210229
Tanglin Halt Market,Tanglin Halt Road,148813,48A,HUP Standard Upgrading,103.797625756738,1.30078931480841
Tanjong Pagar Plaza Blk 6 (Blk 6 Tanjong Pagar Plaza Market and Food Centre),Tanjong Pagar Plaza,81006,6,HUP Standard Upgrading,103.843166992138,1.27661461066321
Teban Gardens Road Blk 37A (Teban Gardens Market and Food Centre),Teban Gardens Road,601037,37A,HUP Rebuilding,103.742891623681,1.32084835041654
Telok Blangah Crescent Blk 11 (11 Telok Blangah Crescent Market and Food Centre),Telok Blangah Crescent,90011,11,HUP Standard Upgrading,103.818641695106,1.27736683810318
Telok Blangah Drive Blk 79 (Telok Blangah Food Centre),Telok Blangah Drive,100079,79,HUP Standard Upgrading,103.807626838954,1.27336828250285
Telok Blangah Drive Blk 82 (Telok Blangah Market),Telok Blangah Drive,100082,82,HUP Standard Upgrading,103.807943567416,1.27391379857001
Telok Blangah Hawker Centre & Market,Telok Blangah Drive,103078,78C,New Replacement Centre,103.808078713674,1.27324863952078
Telok Blangah Rise Blk 36 (Telok Blangah Rise Market),Telok Blangah Rise,90036,36,HUP Standard Upgrading,103.82211725658,1.27271579716508
Tiong Bahru Market,Seng Poh Road,168898,30,HUP Rebuilding,103.832348785334,1.28508825756819
Toa Payoh Lorong 1 Blk 127 (Toa Payoh West Market and Food Court),Lorong 1 Toa Payoh,310127,127,HUP Reconfiguration,103.84473162196,1.33809268551386
Toa Payoh Lorong 4 Blk 74 (Toa Payoh Vista Market),Lorong 4 Toa Payoh,310074,74,HUP Reconfiguration,103.851999137527,1.33454816495637
Toa Payoh Lorong 4 Blk 93,Lorong 4 Toa Payoh,310093,93,HUP Standard Upgrading,103.849513484035,1.3384747524617
Toa Payoh Lorong 5 Blk 75,Lorong 5 Toa Payoh,310075,75,HUP Standard Upgrading,103.852941556275,1.33603882157063
Toa Payoh Lorong 7 Blk 22 (Kim Keat Palm Market and Food Centre),Lorong 7 Toa Payoh,310022,22,HUP Reconfiguration,103.857036007166,1.33523145909678
Toa Payoh Lorong 8 Blk 210,Lorong 8 Toa Payoh,310210,210,HUP Standard Upgrading,103.854395279214,1.3402608349586
Upper Boon Keng Road Blk 17 (Blk 17 Upper Boon Keng Market and Food Centre),Upper Boon Keng Road,380017,17,HUP Standard Upgrading,103.871620273635,1.31502804429519
Upper Cross Street Blk 531A (Hong Lim Food Centre and Market),Upper Cross Street,51531,531A,HUP Reconfiguration,103.845818885585,1.28524640047048
West Coast Drive Blk 502 (Ayer Rajah Market),West Coast Drive,120502,502,Not eligible for HUP,103.759166093858,1.31188972115897
West Coast Drive Blk 503 (Ayer Rajah Food Centre),West Coast Drive,120503,503,HUP Standard Upgrading,103.759751321019,1.31180301004196
Whampoa Drive Blk 90 (Whampoa Drive Makan Place/Whampoa Food Centre),Whampoa Drive,320090,90,HUP Standard Upgrading,103.855137696535,1.32294306204189
Whampoa Drive Blk 91/92 (Whampoa Drive Makan Place/Whampoa Market),Whampoa Drive,320091,91/92,HUP Standard Upgrading,103.85406806286,1.32342175143826
Woodleigh Village Hawker Centre,Woodleigh Link,363202,202C,New Centre,103.872090241567,1.3397961360031
Yishun Park Hawker Centre,Yishun Avenue 11,768867,51,New Centre,103.844747581861,1.42501763803265
Yishun Ring Road Blk 104/105 (Chong Pang Market and Food Centre),Yishun Ring Road,760104,104/105,HUP Standard Upgrading,103.828537609942,1.43144768831222
Zion Riverside Food Centre,Zion Road,247792,70,HUP Standard Upgrading,103.831189303546,1.29234216757957
